,dis_subtype,dis_type,end_date,insur_dam,iso,location,st_date,total_affected,total_dam,total_deaths
1994-0782,Riverine flood,Flood,31/03/1994,,PHL,Extesive agricultural and infrastructure damage,18/03/1994,16821,855,9
1995-0055,Ground movement,Earthquake,21/04/1995,,PHL,near Dolores (Samar Isl.),21/04/1995,,,
1995-0161,--,Flood,29/07/1995,,PHL,Pampanga Province,29/07/1995,25000,,
1995-0187,Tropical cyclone,Storm,28/08/1995,,PHL,"Regions I, II, III, IV, V, Metro Manilla",28/08/1995,195886,,6
1995-0199,--,Storm,04/09/1995,,PHL,"Pampanga, Sultan Kudarat provinces",04/09/1995,19655,394,20
1995-0209,Flash flood,Flood,15/09/1995,,PHL,"South Cotabato, Sultan Kudarat (Mindanao)",04/09/1995,24485,700300,416
1995-0247,Tropical cyclone,Storm,26/10/1995,,PHL,"Pampanga, Pangasinan, Bulacan, Laguna, Marinduque, Quezon, Barangas, Cavite, Albay, Antique, Cebu, Leyte, Siquijor, Bukidnon provinces and National Capital region",09/10/1995,864437,38100,184
1995-0271,Tropical cyclone,Storm,03/11/1995,,PHL,"Luzon, Visayas, Calauag",03/11/1995,1599588,244000,882
1995-0272,Tropical cyclone,Storm,01/11/1995,,PHL,"Leyte, Samar, Central Visayas, Panays Islands, Palawan",28/10/1995,348053,30000,146
1995-0282,--,Flood,28/11/1995,,PHL,Negros Occidental,28/11/1995,10000,,18
1995-0290,--,Flood,11/12/1995,,PHL,"Albay, Catanduanes, Sorsogon",11/12/1995,17500,142,17
1995-0291,--,Flood,10/12/1995,,PHL,Davao City,10/12/1995,4500,,12
1995-0304,Riverine flood,Flood,22/12/1995,,PHL,"Cagayan, Isabela, Quirino, Nueva Viscaya, Aurora provinces",22/12/1995,47700,500,13
1995-0306,--,Storm,25/12/1995,,PHL,"Agusan, Surigao, Leyte, Samar",25/12/1995,229193,,11
1995-0472,Ash fall,Volcanic activity,30/07/1995,,PHL,,29/07/1995,2500,,
1995-0486,Tropical cyclone,Storm,31/07/1995,,PHL,"Pampanga, Zambales, Tarlac (Luzon province)",29/07/1995,20000,5000,
1996-0108,Tropical cyclone,Storm,15/07/1996,,PHL,"Quzeon, Aurora, Quirino, Nueva Vizcaya, Isabela, Cagayan, Batanes, La Union, Ilocos Norte, Ilocos Sur (Luzon Isl.)",15/07/1996,36828,38000,26
1996-0157,--,Flood,30/06/1996,,PHL,Davao Del Norte,30/06/1996,96000,,
1996-0204,Landslide,Landslide,17/09/1996,,PHL,South,17/09/1996,,,12
1996-0257,--,Storm,06/11/1996,,PHL,"Cebu, Bocolod",06/11/1996,800,4150,12
1996-0372,Landslide,Landslide,28/11/1996,,PHL,Catanduanes (Mindanao),28/11/1996,8,,33
1997-0180,Tropical cyclone,Storm,19/08/1997,,PHL,All country,18/08/1997,53659,5000,18
1997-0203,Tropical cyclone,Storm,26/05/1997,,PHL,"Manilla, Luzon",24/05/1997,309111,2500,30
1997-0252,Tropical cyclone,Storm,20/10/1997,,PHL,Cagayan Prov.,20/10/1997,4000,,1
1997-0567,Riverine flood,Flood,13/03/1997,,PHL,"Surigao del Sur, Surigao del NOrte, Agusan del Sur (Mindanao province)",09/03/1997,105000,76,18
1998-0088,Forest fire,Wildfire,02/04/1998,,PHL,Quezeon & Rizal,02/04/1998,300,,2
1998-0296,Tropical cyclone,Storm,18/09/1998,,PHL,"North and Central Luzon Isl., cordillera Autonomous Region, central Visayas Isl., National Capital Region",18/09/1998,1749436,87038,118
1998-0309,Tropical cyclone,Storm,18/10/1998,,PHL,Town Of Tabuk  Level 2 = Kalinga-Apayao (from GENAME),13/10/1998,1344619,50000,75
1998-0314,Tropical cyclone,Storm,21/10/1998,,PHL,Albay ,21/10/1998,3902424,71000,332
1998-0404,Tropical cyclone,Storm,11/12/1998,,PHL,"E  and W Samar, Cagayan, Pampanga, Bulacan, Isabela, Quenzon, W Mindoro, Palawan, Masbate, Albay, Sorsogon, Catanduanes, Aklan, Capiz, Antique, Iloilo, Leyte",11/12/1998,326520,27399,69
1998-9109,Drought,Drought,//1998,,PHL,All country,/04/1998,2600000,,8
1999-0053,Flash flood,Flood,22/02/1999,,PHL,"Iligan city, towns of Kauswagan, Linamon and Bacolod (Lanao del Norte Province, Mindanao islands)",20/02/1999,3703,6000,34
1999-0083,--,Flood,02/03/1999,,PHL,Gingoog,02/03/1999,1300,,
1999-0127,Landslide,Landslide,/04/1999,,PHL,South of Philippines,/04/1999,,,19
1999-0172,Landslide,Landslide,10/05/1999,,PHL,Compostela Valley (Mindanao Isl.),10/05/1999,45,,10
1999-0253,Flash flood,Flood,08/08/1999,,PHL,"Rizal, Pangasinan, Pampanga and Bulacan Provinces",30/07/1999,2099763,18000,130
1999-0312,Landslide,Landslide,13/09/1999,,PHL,Nord du pays,13/09/1999,,,13
1999-0390,Tropical cyclone,Storm,05/10/1999,,PHL,"Provinces Of Cagayan, Ilocos, Sur, Pangasinan, La Union",05/10/1999,41933,1800,7
1999-0608,Flash flood,Flood,/03/1999,,PHL,Surigao del Sur Province,/03/1999,250,,
1999-0644,Ground movement,Earthquake,12/12/1999,,PHL,Luzon (Manila Region),12/12/1999,190,1794,6
1999-0723,--,Storm,06/06/1999,,PHL,Regions II - Batanes,01/06/1999,1601,,
1999-0724,--,Storm,06/06/1999,,PHL,Region III - Zambales,04/06/1999,1135,2210,
1999-0725,--,Storm,01/08/1999,,PHL,Region III,28/07/1999,1245919,33795,47
1999-0726,--,Storm,21/08/1999,,PHL,"Regions I, II, III and CAR",18/08/1999,35245,4007,11
1999-0727,--,Storm,15/09/1999,,PHL,Region III,10/09/1999,1507,,1
1999-0728,--,Storm,18/10/1999,,PHL,"Regions V, VIII",15/10/1999,5791,,1
1999-0729,--,Storm,09/11/1999,,PHL,"Regions V, VI, VII",07/11/1999,54159,14675,33
1999-0732,Landslide,Landslide,04/08/1999,,PHL,Manilla,04/08/1999,,,58
2000-0038,Flash flood,Flood,01/02/2000,,PHL,"Agusan del Sur, Agusan del Norte, Surigao del Sur, Davao Oriental, Davao del Norte, Compostela Valley (Mindano Isl.)",28/01/2000,153885,4080,50
2000-0066,Coastal flood,Flood,22/01/2000,,PHL,Tawi-Tawi municipality,22/01/2000,5250,,
2000-0089,Ash fall,Volcanic activity,09/03/2000,,PHL,Albay (Legazpi Province),24/02/2000,68426,2214,
2000-0257,Tropical cyclone,Storm,18/05/2000,,PHL,"Metro Manila, Central Luzon",18/05/2000,235889,1201,12
2000-0396,Tropical cyclone,Storm,05/07/2000,,PHL,Manilla,05/07/2000,120000,7500,11
2000-0397,Tropical cyclone,Storm,07/07/2000,,PHL,"La Union, Pangasinan, Ilocos Norte, Ilocos Sur, Baguio City (Reg. I), Bataan, Bulacan, Pampanga, Olongapo City, Tarlac, Zambales (Reg. III), Mindoro Oriental (Reg. IV), Caloocan, Manioma, Quezon cities, Rizal (NCR), Cavite (Reg. IV), Iloilo, Negros Occidental (Reg.VI)",07/07/2000,1483321,25763,75
2000-0414,Subsidence,Landslide,10/07/2000,,PHL,Manilla,10/07/2000,2838,,287
2000-0597,Coastal flood,Flood,05/09/2000,,PHL,Metropolitan Manila,04/09/2000,6508,,5
2000-0706,Tropical cyclone,Storm,31/10/2000,1500,PHL,"Cavite, Sorsogon, Catanduanes, Samar, Albay, Manilla (Southern Luzon)",28/10/2000,2436256,17000,154
2000-0715,Tropical cyclone,Storm,05/11/2000,,PHL,"Rizal, Laguna, Cagayan, Nueva Vizcaya provinces, Manilal area (Luzon Isl)",03/11/2000,1747872,31000,94
2000-0763,Landslide,Mass movement (dry),08/11/2000,,PHL,Kabugao- Apayao (Kalunga-Apayao province),08/11/2000,,,11
2000-0788,Tropical cyclone,Storm,03/12/2000,,PHL,Mindanao Isl. and Central Philippines,30/11/2000,164093,1000,48
2001-0054,Tropical cyclone,Storm,17/02/2001,,PHL,"Leyte Isl., Visayas, Mindanao",17/02/2001,100084,6000,55
2001-0059,Riverine flood,Flood,15/01/2001,,PHL,Negros Occidental,15/01/2001,12000,,2
2001-0297,Ash fall,Volcanic activity,24/05/2001,,PHL,"Luzon Isl. (Daraga, Malilipot, Sto Domingo, Camalig, Legaspi, Tabaco, Bacacay, Guinobatan, Ligao)",24/05/2001,25576,792,
2001-0319,Tropical cyclone,Storm,/07/2001,,PHL,"Regions I, II, III, IV, VIII, Cordillera Autonomous Region (CAR), National Capital Region",/07/2001,1902654,68565,232
2001-0445,Flash flood,Flood,14/08/2001,,PHL,"Zamboanga del Sur, Maguindanao, Sultan Kudarat, North Cotabato, Misamis Occidental, Zamboanga del Norte, Zamboanga Sibugay provinces (Mindanao Isl).",12/08/2001,79000,8000,37
2001-0461,Ash fall,Volcanic activity,25/07/2001,,PHL,Legazpi,25/07/2001,57645,1788,
2001-0596,Flash flood,Flood,10/10/2001,,PHL,Zamboanga city?,10/10/2001,300,,4
2001-0614,Tropical cyclone,Storm,08/11/2001,,PHL,"Camiguin Isl., Cagayan de Oro (Mindanao Isl.)",08/11/2001,1060147,22700,290
2001-0758,Tropical cyclone,Storm,07/12/2001,,PHL,"Cebu, Leyte Isl.",05/12/2001,54840,96,6
2001-0792,--,Storm,19/08/2001,,PHL,Region III,17/08/2001,295355,293,
2001-0793,--,Storm,27/09/2001,,PHL,"Regions I, II and CAR",22/09/2001,37357,1407,4
2002-0005,Riverine flood,Flood,07/01/2002,,PHL,"Davao del Sur, Surigao del Sur, Agusan del Sur, Davao del Norte, Davao Oriental, Compostella Valley ((Mindanao Isl.)",04/01/2002,95008,392,11
2002-0129,Ground movement,Earthquake,06/03/2002,,PHL,"General Santos city (South Cotabato), Kiamba (Saranggani province, Mindanao Isl.)",06/03/2002,73451,1714,15
2002-0176,Riverine flood,Flood,26/03/2002,,PHL,"Surigao del Norte, Surigao del Sur",21/03/2002,50000,1450,35
2002-0408,Tropical cyclone,Storm,09/07/2002,,PHL,Manilla,07/07/2002,700041,1000,33
2002-0423,Tropical cyclone,Storm,13/07/2002,,PHL,,13/07/2002,11000,5664,62
2002-0499,Coastal flood,Flood,17/08/2002,,PHL,"Negros Occidental (Negros Isl.), Manila and Rizal Province (Luzon Island)",13/08/2002,3559,,26
2002-0528,Tropical cyclone,Storm,03/07/2002,,PHL,Manilla (Luzon Isl.),28/06/2002,3000,,7
2002-0532,Coastal flood,Flood,28/07/2002,,PHL," Metropolitan Manila, Bulacan (north), Laguna (San Pablo city), Pampanga, Pangasinan provinces (Luzon island), Maguindanao Province (Mindanao), Negros Island (Visaya), Cavite",20/07/2002,7000,,18
2002-0875,--,Storm,20/03/2002,,PHL,"Regions VI, VII, VIII and CARGA",20/03/2002,54631,3292,42
2002-0877,--,Storm,23/07/2002,,PHL,"Regions IV, VI",15/07/2002,19050,238,14
2002-0878,--,Storm,14/08/2002,,PHL,"REgions III, IV, V, VI, VII, VIII, X, CARAGA",11/08/2002,194472,3340,57
2002-9164,Drought,Drought,/03/2002,,PHL,"Pangasinan, La Union, Ilocos Norte, Ilocos Sur",/03/2002,,453,
2003-0258,Tropical cyclone,Storm,30/05/2003,,PHL,"Pangasinan, La Union, Ilocos Norte, Ilocos Sur, Zambales, Battan, Cavite, Batangas, Rizal, Romblon, Occ. Mindoro, Iloilo, Bulacan Benguet provinces, Valenzuela city (Luzon Isl).  ",26/05/2003,13909,4000,51
2003-0289,Flash flood,Flood,16/05/2003,,PHL,Cebu,16/05/2003,3500,,
2003-0290,Tropical cyclone,Storm,18/06/2003,,PHL,"Sorsogon, Albay, Catanduanes, Camarines Sur (Leyte), Barangay Aslum, Naval, Biliran city (Catbalogan Biliran Island)",15/06/2003,127130,2455,13
2003-0346,Tropical cyclone,Storm,23/07/2003,,PHL,"Maguindanao provinces (Autonomous Region of Muslim Mindanao), North Cobato, Sultan Kudarat (Region XII), Isabela (Region II), Ilocos Norte (Region I), Romblon (Region IV)",19/07/2003,14280,26468,21
2003-0610,Landslide,Landslide,07/01/2004,,PHL,"Southern Leyte (Liloan, San Francisco, Maasin, Punta, San Ricardo), South Cotabato, Compostela, Misamis Oriental, Agusan del Sur, Agusan del Norte, Surigao del Sur, Surigao de Norte, Bohol provinces",19/12/2003,217988,7000,255
2003-0822,Tropical cyclone,Storm,19/07/2003,,PHL,"Regions IV , VIII",15/07/2003,116602,1499,8
2003-0823,Tropical cyclone,Storm,31/07/2003,,PHL,"Regions V, VIII, X",30/07/2003,3748,146,
2003-0824,Tropical cyclone,Storm,05/08/2003,,PHL,Region III,04/08/2003,155147,661,
2003-0825,--,Storm,24/08/2003,,PHL,Region I,20/08/2003,1156,73,1
2003-0826,--,Storm,02/09/2003,,PHL,Regions III and NCR,30/08/2003,34289,,1
2004-0028,Riverine flood,Flood,23/01/2004,,PHL,La Union,23/01/2004,194,,27
2004-0087,Riverine flood,Flood,26/02/2004,,PHL,"Mindanao Island - Agusan del Sur, Davao del Norte, Compostela Valley, Davao Oriental, Agusan del Norte, Misamis Oriental, Surigao Del Sur (cities: San Francisco town and Prosperidad town (Agusan del Sur), Tagum (Davao del Norte), Gingoog (Misamis Oriental), Butuan (Agusan del Norte) and Bislig (Surigao Del Sur) and 36 towns)",11/02/2004,20000,,7
2004-0218,Tropical cyclone,Storm,19/05/2004,,PHL,Bicol region,13/05/2004,714,1000,31
2004-0267,Convective storm,Storm,10/06/2004,,PHL,Leyte Isl.,10/06/2004,4504,,7
2004-0309,Tropical cyclone,Storm,02/07/2004,,PHL,"Cagayan, Laoag, La Union (North of Luzon Isl.), Mindanao Isl.",25/06/2004,385012,19667,28
2004-0311,Flash flood,Flood,30/06/2004,,PHL,"North Cotabato province (Mindanao island, Libungan, Alamada, Pigcawayan (second class municipality provinces))",28/06/2004,1500,,15
2004-0435,Tropical cyclone,Storm,26/08/2004,,PHL,"Pampanga, Tarlac, Bataan, Bulacan, Pangasinan, Benguet, Rizal, La Union,  Nueva Vizcaya, Nueva Ecija, Ifugao provinces (Luzon Isl)",25/08/2004,1058849,,35
2004-0580,Tropical cyclone,Storm,21/11/2004,,PHL,"Catanduanes Isl., Bicol peninsula, Mindoro Isl., Camarines Sur, Sorsogon",14/11/2004,838674,6000,104
2004-0602,Tropical cyclone,Storm,28/11/2004,,PHL,Aurora province (Luzon Isl),23/11/2004,2014,,29
2004-0609,Tropical cyclone,Storm,30/11/2004,,PHL,"Isabela (Region II), Bulacan, Nueva Ecija, Aurora (Region III), Quezon, Rizal (Region IV), Camarines Sur (Region V) - Real, Infanta, General Nakar (Quezon province, East coast Luzon Isl.)",29/11/2004,881023,78200,1619
2004-0618,Tropical cyclone,Storm,03/12/2004,,PHL,Bicol,30/11/2004,70488,34000,8
2004-0634,Landslide,Landslide,13/12/2004,,PHL,Hubo (nearTinambac),13/12/2004,6,,8
2005-0120,Tropical cyclone,Storm,17/03/2005,,PHL,Leyste Isl.,15/03/2005,11,,18
2005-0284,--,Flood,12/05/2005,,PHL,"Shariff Kabunsuan (Mindanao Isl. : two town near Simuay river, 11 villages in the town of Sultan Mastura, six villages in the town of Sultan Kudarat, Cotabato river basin)",12/05/2005,100,,1
2005-0540,Tropical cyclone,Storm,22/09/2005,,PHL,"Luzon, Muntinlupa, Pampanga, Gabaldon, Angono, Quezon, Aurora, Nueja Ecija, Rizal, Bicol, Ilpcos Norte ",15/09/2005,20000,2000,16
2005-0669,Riverine flood,Flood,29/12/2005,,PHL,"Oriental Mindoro (Naujan, Calapan, Victoria, Pola, Pinamalayn, Baco, Puerto Princesa, Barangay Biga, Barangay Malabo municipalities), Palawan (Aborlan, Dumaran, Taytay, Barangay Sta. Maria, Roxas, San Vicente), Albay, Camarines Norte (Victoria, Capalonga, Labo), Camarines Sur, Catanduanes (Bato municipanily), Masbate, Sorsogon (in Bicol region), Quezon (Pagbilao, Mauban, Lucena, Candelaria), Negros Occidental, Aklan, Iloilo, Aurora (Dipaculao, Casiguran (Bianuan, Dibacong), Tinib), Leyte (Palo) ",05/12/2005,192946,515,4
2006-0040,Flash flood,Flood,05/02/2006,,PHL,"Nueva Ecija, Kalinga, Cagayan, Abra, Aurora,Quezon, Isabela (Luzon)",26/01/2006,256641,9600,4
2006-0087,Landslide,Landslide,14/02/2006,,PHL,Agos Agos (Sogod Southern Leyte municipality),14/02/2006,7525,,11
2006-0096,Landslide,Landslide,17/02/2006,,PHL,"Guinsaugon (near St Bernard, Southern Leyte)",17/02/2006,5926,2203,1126
2006-0137,Flash flood,Flood,06/03/2006,,PHL,Bohol (Carmen municipality),04/03/2006,1000,,1
2006-0251,Tropical cyclone,Storm,12/05/2006,,PHL,"Sogod, Macrohon (Leyte), Albay province (Bicol region, Luzon), Visayas, Tagalog, Bicol",11/05/2006,42000,3328,41
2006-0362,Tropical cyclone,Storm,17/07/2006,,PHL,Northern Luzon,11/07/2006,51680,3000,37
2006-0388,Tropical cyclone,Storm,28/07/2006,,PHL,Central Luzon provinces,24/07/2006,200355,471,4
2006-0410,Tropical cyclone,Storm,06/08/2006,,PHL,"Quirino region, Northern Luzon",02/08/2006,15000,135000,6
2006-0415,Tropical cyclone,Storm,02/08/2006,,PHL,"Tarlac, Zambales, Nueva Ecija",30/06/2006,476027,645,8
2006-0439,Avalanche,Landslide,13/08/2006,,PHL,Between Kapatagan (Lanao Del Norte) and Pagadian (Zamboanga Del Sur),13/08/2006,1200,,6
2006-0448,--,Flood,/08/2006,,PHL,"Mindano Island: Misamis Occidental (Anonan village), Davao Oriental (Upper Koronel village), Lanao Del Norte (Kapatagan)",/08/2006,15000,,26
2006-0450,Ash fall,Volcanic activity,13/08/2006,,PHL,"Albay (Sto Domingo, Daraga, Camalig, Ligao City, Legazpi City, Tabaco City, Malilipot, Guinobatan)",13/08/2006,43849,,
2006-0517,Tropical cyclone,Storm,06/10/2006,,PHL,"Luzon, Manilla, Panay Isl.",27/09/2006,3842406,113000,228
2006-0563,Riverine flood,Flood,08/10/2006,,PHL,"Zamboanga Del Sur (Pasonanca, Tugbungan, Tumaga, Putik, Guiwan, Baliwasan, San Jose Gusu, Tetuan districts)",04/10/2006,4250,399,3
2006-0600,Tropical cyclone,Storm,01/11/2006,,PHL,"Quirino, Isabela, Neuva Vizcaya, Benguet, Kalinga, Aurora, La Union, Cagayan (Luzon Isl.)",30/10/2006,283021,9077,34
2006-0605,Riverine flood,Flood,27/10/2006,,PHL,Davao del Norte (Mindanao Island),21/10/2006,40000,763,2
2006-0610,Tropical cyclone,Storm,13/11/2006,,PHL,"Isabela, Auroa, Nueva Ecija (Luzon Island)",13/11/2006,21260,,6
2006-0648,Tropical cyclone,Storm,08/12/2006,,PHL,"Daraga town, Bicol region (Albay province), Catanduanes, Camarines, Sorgoson, Mindoro, Marinduque, Batangas, Laguna",30/11/2006,2562517,66400,1399
2006-0667,Tropical cyclone,Storm,11/12/2006,,PHL,"Regions IV-B, V, VI, VII, VIII",11/12/2006,327542,,42
2006-0702,Riverine flood,Flood,29/12/2006,,PHL,"Davao del Norte (Kapalong, Region XI), Surigao del Sur (Tago), Agusan del Sur (Sta. Josefa municipality, CARAGA), Northern Samar (Mondragon, Catarman, Pambujan, San Roque, Catubig, Silvino Lobos ) :  Visayas and Mindanao island",27/12/2006,415618,3395,
2007-0022,Riverine flood,Flood,24/01/2007,,PHL,"Agusan del Norte, Agusan del Sur, Davao del Norte, Davao del Sur (Mindanao Isl.) - Visayas",10/01/2007,24508,4080,9
2007-0346,Tropical cyclone,Storm,13/08/2007,,PHL,"Metro Manilla, Luzon provinces",08/08/2007,921462,492,7
2007-0380,Tropical cyclone,Storm,24/08/2007,,PHL,"Central Luzon, Southern Luzon provinces, and the Bicol region",17/08/2007,380000,492,3
2007-0457,Tropical cyclone,Storm,25/09/2007,,PHL,Negros Occidental ,17/09/2007,30000,,2
2007-0463,Tropical cyclone,Storm,12/10/2007,,PHL,"Ifugao, Kalinga provinces",29/09/2007,2000,,8
2007-0525,Riverine flood,Flood,01/11/2007,,PHL,"Camarines Sur (Towns: Baao, Bato, Nabua, Buhi, Bula, Pili, Bombon, Cabusao, Calabanga, Camaligan, Canaman, Gainza, Libmanan, Magarao, Milaor, Minalabac, San Fernando, Iriga City and Naga City), Albay (Libon, Ligao City, Oas, Polangui. Ligao City), Catanduanes (Baras, Bato, San Miguel, San Andres, Caramoran): Southern Luzon - Bicol Region",27/10/2007,,,20
2007-0553,Coastal flood,Flood,21/11/2007,,PHL,"Lanao Del Norte (Iligan city), Surigao del Norte (City of Surigao and province, Tagana-an, Placer), Misamis Oriental (Lugait), South Cotabato (Polomolok)  : Central Visayans and northern Mindanao regions. ",18/11/2007,16463,2520,11
2007-0560,Tropical cyclone,Storm,06/11/2007,,PHL,"Isabela, Cagayan (Luzon)",04/11/2007,33884,2971,8
2007-0576,Tropical cyclone,Storm,02/12/2007,,PHL,"Isabela (Luzon Isl.), Camarines Sur, Camarines Norte provinces",25/11/2007,443115,5000,29
2007-0577,Coastal flood,Flood,28/11/2007,,PHL,"Zamboanga, Misamis Oriental, Sulu (Jolo Isl.), Antique, Camiguin, Pangasinan, La Union, Ilocos Norte, Negros Occidental, Negros  Oriental, Zamboanga del Norte, Tawi-Tawi",28/11/2007,33571,,
2007-0578,Tropical cyclone,Storm,23/11/2007,,PHL,Central Visayans and Northern Mindanao regions,18/11/2007,35333,1000,20
2007-0665,Riverine flood,Flood,04/12/2007,,PHL,"Oriental Mindoro (Naujan, Victoria) ",01/12/2007,12205,,
2007-0667,Tropical cyclone,Storm,30/09/2007,,PHL,"Upper Pitawan, Hingyon, Ifugao, Bagong Silangan, Payatas, Quezon city, Lun Pididu, Malapatan, Sarangani, Hinigaran, Isabela, Ilog, Vallolodid, Pontevedra, NegrosOccidental (Regions V, X, XII, CAR, NCR)",29/09/2007,12515,260,11
2007-0668,Tropical cyclone,Storm,18/09/2007,,PHL,"Western section Luzon, Visayas, Mindanao regions",18/09/2007,64000,,1
2007-0669,Ash fall,Volcanic activity,31/07/2007,,PHL,Irosin (Sorsogon province),31/07/2007,14036,,
2007-9347,Drought,Drought,/08/2007,,PHL,"La Union, Isabela, Pangasinan, Ilocos Sur, Nueva Vizcaya, Quirino",/08/2007,,,
2008-0077,Riverine flood,Flood,12/03/2008,,PHL,"Oriental Mindoro (Naujan, Baco : Region IV-B), Albay, Camarines Sur, Camarines Norte, Sorgoson, Catanduanes (Region V), Capiz (Region VI), Eastern, Northern and Western Samar provinces, Leyte  (Region VIII), Misamis Oriental, Lanao del Norte (Region X), Sultan Kudarat (Region XII)",12/02/2008,875343,30733,63
2008-0155,Tropical cyclone,Storm,13/04/2008,,PHL,Mindanao Island,13/04/2008,,16000,1
2008-0197,Tropical cyclone,Storm,18/05/2008,,PHL,"Botoloan, Pangasinan, Zambales and La Union provinces ",18/05/2008,1496668,99174,64
2008-0249,Tropical cyclone,Storm,23/06/2008,45000,PHL,"Aklan, Cebu, Cotabato, General Santos, Iloilo, Leyte, Marinduque, Masbate, Mindoro Oriental, Ormoc, Romblon, Eastern and Western Samar Island, Iloilo, Antique, Capiz, Negros Occidental ",21/06/2008,4785460,284694,644
2008-0292,Tropical cyclone,Storm,29/07/2008,,PHL,"Piddig, Pasuquin - Metro Manilla (Northern Luzon), Ilocos Norte, Ilocos Sur, Abra",28/07/2008,22081,40,10
2008-0329,Tropical cyclone,Storm,04/08/2008,,PHL,"Quezon city (NCR), CAR, Region I, Region III",04/08/2008,4498,,2
2008-0347,Flash flood,Flood,06/06/2008,,PHL,Davao del Sur (Bansalan),06/06/2008,1000,,1
2008-0369,Tropical cyclone,Storm,22/08/2008,,PHL,"Ilocos, Cagayan, Cordillera regions (La Union, Cagayan, Benguet provinces)",22/08/2008,429463,33870,38
2008-0393,Landslide,Landslide,06/09/2008,,PHL,Maco town (Compostelle Valley),06/09/2008,5028,,24
2008-0426,Tropical cyclone,Storm,22/09/2008,,PHL,"Itogon, Central region",22/09/2008,46132,7420,37
2008-0540,Tropical cyclone,Storm,11/11/2008,,PHL,"Pro, Tudela, Pilar and San Francisco (Camotes Island), Madridejos, Bantayan and Sta. Fe (Bantayan Island), Catmon, Medellin, San Remegio, Tuburan, Carmen, Tabuelan, Tabogon, Borbon, Sogod (Cebu province), Concepcion , Iloilo, Surigao Norte, Pililia Rozal, Carles, Batad - Southern Tagalog (IV), Bicol (V), Western Visayas (VI), Central Visayas (VII), Eastern Visayas (VIII)",06/11/2008,474,,19
2008-0545,Flash flood,Flood,24/11/2008,,PHL,"Cagayan (Alcala, Amulung, Enrile, Gattaran, Iguig, Lasam, Claveria, Pe?ablanca, Solana, Tuguegarao city, Tuao, Camalaniugan, Lallo, Baggao), Isabela (Cauayan city, Quezon, Cabagan, Delfin Albano, Ilagan, Mallig, Tumauni, San Pablo, Sta. Maria, Sto.Thomas), Aurora (Casiguran, Dinalungan, Dilasag), Kalinga (Rizal, Lubuagan) - Northern Luzon Island",21/11/2008,239763,4088,10
2008-0571,Riverine flood,Flood,04/12/2008,,PHL,"Southern Luzon, eastern coast of the main islands of Luzon and Mindanao :::: Admin 1 :::: Region II (Cagayan Valley), Region V (Bicol region), Region XIII (Caraga), Region XI (Davao Region), Region III (Central Luzon), Region IV-A (Calabarzon), Region IV-B (Mimaropa)",01/12/2008,50000,,29
2008-0608,Riverine flood,Flood,08/08/2008,,PHL,"Nueva Ecija, Tarlac, Pampanga, Bulacan",08/08/2008,39530,,
2008-0609,Tropical cyclone,Storm,13/05/2008,,PHL,"Lambayong, Esperanza (Sultan Kudarat)",13/05/2008,8390,280,1
2008-0611,Riverine flood,Flood,18/01/2008,,PHL,"Davao del Norte (Asucion), Misamis Oriental (Initao, Gitagum)",18/01/2008,29184,446,
2008-0620,Riverine flood,Flood,17/06/2008,,PHL,"Davao Oriental (Manay), Davao del Norte (Braulio E. Dujali)",17/06/2008,2391,173,7
2008-0621,Tropical cyclone,Storm,18/07/2008,,PHL,"Nueva Era, Paoay, San Nicolas, Bangui, Batac city, Dingras, Pasuquin, Marcos, Piddig, Laoag city, Bacarra, Sarrat, Currimao, Pagudpud (Ilicos Norte), Luna (La Union), Sta.Terisita (Cagayan)",18/07/2008,31130,147,2
2008-0622,Riverine flood,Flood,13/09/2008,,PHL,"North Cotabato (Pigcawayan, Midsayap, Pikit), Shariff Kabunsuan (Sultan Kudarat, Mother Kabuntalan, Northern Kabuntalan, Datu Odin Sinsuat), Maguindanao (Sultan Sabarongis, Rajah Buauan, Mamasapano, Datu Piang, Datu Anggal Midtimbang, Datu Saudi Ampatuan)",04/09/2008,365678,4137,6
2008-0623,Tropical cyclone,Storm,29/09/2008,,PHL,"Nueva Ecija, Pampanga, Candaba",29/09/2008,27683,,1
2009-0023,Riverine flood,Flood,15/01/2009,,PHL,"La Union (Aringay), Palawan (Brroke\\\'s Point, Bataraza, Balabac), Camarines Norte (Labo),, Catanduanes (Bagamanoc, Baras, Bato, Caramoran, Gigmoto, Pandan, Panganiban, San Andres, San Miguel, Viga, Virac), Capiz (Pontevedra, Panitan, Sigma, Dao, Cuartero), Negros Oriental (Amlan), Northern Samar (Bobon, Catarman, Lavesares, Lope de Vega, Mondragon, Palapag, San Roque : Visayas Isl),Misamis Oriental (Cayagan de Oro city, Mindanao Isl), Caraga (admin 1)",02/01/2009,537991,6354,33
2009-0026,Riverine flood,Flood,09/01/2009,,PHL,"Camarines Norte (Labo municipality ; Malibago, Gumamela, Anahaw, Bagacay, Santa Cruz baranguays)",09/01/2009,1300,,
2009-0027,Flash flood,Flood,08/01/2009,,PHL,"Labao del Norte (Linamon municipality ; Poblacion, Mago-ong, Samburon baranguays)",08/01/2009,1345,,
